00310f0f-f13a-484e-a6fe-9e53d1ab632d_1034224192	zh
00440937-d5ab-4f67-8f9b-b2bfd8a92f16_80395277	es
004bde07-9147-4747-8752-66c5079d89b5_255489503	ru
004bde07-9147-4747-8752-66c5079d89b5_348418897	es
00594b5a-7b77-495a-a6d8-c46acc45be60_596589829	zh
00594b5a-7b77-495a-a6d8-c46acc45be60_88507625	en
007081ae-815b-4504-80cb-00bd286f0037_1029728043	en
008914c2-03b2-48ee-b6df-cf2343a5be73_371091828	ru
00976f4d-9c11-487d-bb04-f93dbd3ac6a6_325019250	ru
00976f4d-9c11-487d-bb04-f93dbd3ac6a6_809108064	ru
00b8f280-08c3-4f96-ad5b-b986f30461a1_497785842	en
00bdbfe1-bf0f-44d3-a057-ee6c92abd8f8_992992492	zh
00e1e837-98c5-46cb-8580-d260cd101faf_974812530	en
00e36b81-210c-42ad-83c8-d28347b4f2db_421788127	en
00f7f585-ef60-4987-afef-8cb1443e5b21_120357560	en
01075e6f-f90f-47df-b4c3-9c6e4b0a6aaf_466765216	ru
01172bcc-2f72-41ea-99ae-1b09283b41da_458733153	zh
011f4d76-6505-4170-86f6-f7e300f3affe_809584304	es
0120b56e-1f8a-4690-9e3e-458518e4c303_665468240	ru
0122bf15-21c4-4776-87b2-3967e788f7c0_439972819	ru
0122fa0a-aafd-4451-8f97-e4a39a9dd88a_800120034	zh
013f90f6-3a4b-430f-836c-d404fffc9c8e_771305523	zh
014f0a05-54ec-4e10-af6a-15b55adbe83c_861571395	ru
0151811a-d7ed-4c61-aea7-bc49111a11a0_997144533	en
01571973-e5a6-4883-8f09-9ce64b79af21_981568127	en
016ad750-07d5-4a12-b0f8-0dcd9fa1575d_239878169	es
01794ec4-f540-4b09-80db-15dacb46c55a_116530380	zh
017e9978-d201-469b-9240-f11715d5ba15_993996552	es
0184e3cb-6e36-4152-8a1f-80423b62d1f5_1018553351	zh
018ebb9f-401b-4343-8eec-026b0a94b2cc_228343163	zh
01a05f79-9c83-41d5-8694-211daa85b7c4_1026806519	es
01c44cda-9c26-4674-815e-de91cca921c4_757278772	zh
01d2f9b5-30d3-44b3-a5be-aeed0bd56542_645509253	es
01daed5b-4efd-4c3e-bf1b-c33e3b14012f_986153389	zh
01e9c27c-4117-4b4a-ad40-4f034bb92e83_782968010	en
01f3ba8e-4dfd-4ae9-97b7-1587e2b20df3_169808181	ru
01f4f5cd-9e38-4eae-8a37-35bcbff85d8a_84503113	zh
0208b946-03d7-4a90-be65-59f0357fb4ff_417898970	zh
020c57e3-972a-41cc-8f61-91815a5bddc1_289002790	es
020e4e6c-45c8-4421-a53d-ff023c3eb4d7_130799698	zh
02114348-d4fd-427f-8fcb-7013122d156c_806313618	zh
0219acd9-d874-4663-8670-5069fb4ba5fb_1044479365	es
021cf22b-b495-4c86-9820-31967ddf0259_553491904	en
023f7dc2-7fdf-4556-8a55-0ab538114645_340817445	zh
0245c39f-a3ca-43cb-b2ef-5189ae810c48_466873037	en
0262538a-0e1c-4157-8efb-a8f13198b79f_15695058	en
0277a207-c9e6-46ef-9306-cb603fb86091_682885229	es
027aa1fd-eb65-4c92-8094-4fd8e40aadef_98849953	es
028c8ea2-6f35-41df-b286-eede980eb3eb_492650560	en
0291c391-8dd3-4d7e-9790-d54597943416_447237456	en
029583ec-da87-4eb0-8d99-82220f88d78d_912827174	en
02a77179-2293-4105-ae92-bdc9ff4c60eb_74490991	zh
02b0414a-d4f0-4480-ae4e-0cd7db375a87_974078697	en
02b5cd5b-f90b-4fc1-9f6d-f7e5c6b4b285_845207557	en
02bb0685-ce2f-4920-af54-255a0b169e9c_200447928	en
02d34420-1dcf-4ed8-89b8-065c2bc5b778_114485190	es
02d4bf13-d1d1-4954-9899-a623756c0f0e_1008132529	ru
02d9782d-8612-42df-b76d-5c83f7df8865_975121253	zh
02e07302-ee29-4de3-a0e3-5076a9add90d_260545276	es
02ec225e-ceb7-44a2-a32c-421ee04d1e10_764257629	en
02f19dad-dfd9-4cad-a549-89b673ba642c_265199470	es
030aab02-a533-41d6-96ef-927d38fdd49a_716095477	en
030aab02-a533-41d6-96ef-927d38fdd49a_975945936	zh
030aab02-a533-41d6-96ef-927d38fdd49a_987704625	zh
0314b03f-2652-4189-ae31-c94be1640f30_950993118	es
031c5062-a13c-4088-8edc-3179746fcc66_536537336	es
032cf1ad-58b0-4243-b570-78491b5691e7_524279468	es
033fa5d5-912f-40ec-aaba-443a798881b4_211985678	zh
03465623-d836-4379-b078-a3114f5ab6af_69557028	en
03498377-d4fd-4c14-b6d8-3652756f755b_324207390	en
035d2674-bb27-42cc-9aa8-edf1ce892e4f_557741886	en
0367af00-a10f-4638-832f-ebac196ddd04_271096049	en
0370e702-007e-48ff-a19d-b6d8b28bdef6_54536313	es
03834419-13a3-4933-b1fa-fe5747332cd3_410375677	en
03878997-266b-4fbc-8b21-0c7a06ddd459_814148954	ru
03b8f703-dbe1-45c1-a82d-40c6157ec2a4_369582276	zh
03cef17a-cabd-453b-958e-6df2514cd20d_233109856	zh
03e7d62c-5970-4d14-8134-77e993cdbe7c_401508615	en
03fc2768-916c-4d76-94db-80544b4c0ffa_588694397	es
0428e199-e28c-4f47-a163-bce3261705cc_194700652	en
042b2e21-798b-49dd-85e5-d740a6174533_944840439	en
04412d8a-6ab2-42d0-9224-7edddcefcee8_178901770	ru
04412d8a-6ab2-42d0-9224-7edddcefcee8_281523905	es
0450ea33-71c3-434a-9b21-3bbc9897506a_4688474	zh
04527cae-eaa2-4479-bd9d-7e203c3bee3f_655020756	en
04775016-a50f-4227-af0d-4f61d6e034aa_361195814	ru
04a391e5-b73b-4e2a-8f5b-191fbd2ce591_801482935	en
04a8ccd9-9662-4129-a05a-8065fb16c673_996522049	zh
04afc5cb-f1b5-42ca-9c95-feb51e5d5975_834154583	zh
04bd8ba0-4fc2-4dd7-a544-9e34b4c0e090_328056362	zh
04d154f2-ebf7-4446-ab76-bf0249319384_767789249	zh
04de98b1-a919-4493-a6d5-e832987e03d5_940965117	en
04ff38fe-f13e-4131-9ac7-e7ed1b40827d_488535330	en
04ff38fe-f13e-4131-9ac7-e7ed1b40827d_751349142	en
0502a8af-040a-4e08-b4d9-374bea891d54_147975904	es
0502a8af-040a-4e08-b4d9-374bea891d54_192025829	ru
0505932e-e096-4b88-be81-b8b525ebd27a_609224607	ru
0507e8a3-a10c-446e-9ad6-f3f582280ca8_782937233	zh
051ad9d1-044a-40e1-a462-3b9e46717f75_185130702	es
054cdb4c-3b1e-4328-b16e-b5f60fdfc618_809367542	en
054f7600-ad42-40a3-ad42-181e5969294e_349030524	en
055d50c0-58a0-49b0-978a-26f35c89a239_174389777	ru
056ac1dc-c6dc-4822-8f10-c73ac02560e7_815988748	ru
0570f411-1bab-4f13-92cb-74f87ffb4a3b_170200926	en
058f5300-b188-4156-af34-ff0a37219564_693581073	es
05926e9c-5633-4bef-bc73-251505b0b384_955967279	es
05961f33-cef2-45df-b6b0-91043dbe4ea0_10275676	en
059bfe29-1fc3-496e-a6b6-c5c96258e02d_353299126	zh
05a9e766-9b02-4ab1-9cc1-639bcbfc354d_477318440	en
05b2fc15-6c14-44e9-b7e4-030d675877e8_791039243	en
05d3d6bf-6d65-4dbe-b48e-f5a4bbf5218b_794128785	en
05d8bc39-a33c-474a-8f66-48b4e77560b2_578238853	es
0601d783-e2c1-4711-b7a3-c2d23f59875a_18680132	es
0601d783-e2c1-4711-b7a3-c2d23f59875a_437171257	zh
06069c09-21b4-4ca2-bdfd-1c0d1b40d427_672433126	en
061641d6-49c2-4b0c-ac1e-001c86b80a9e_203363365	zh
0622fae8-84b5-4ad4-898b-c9aa602daabf_99995149	zh
0647188f-9964-4a4f-ae8e-63483708d38d_1048701790	en
0664f427-ef80-4a94-acb1-9f9f6dd32127_999347323	ru
0673de09-dd62-4580-a666-22df79b33452_383928070	ru
068b9d98-d6a9-4164-933a-40ac924ab0d7_635915782	en
06a26c76-768e-4692-a1ee-8666a74b9457_88538165	en
06bfbc18-1a1e-4c2c-9ddc-436321f651af_799258412	zh
06c07304-0431-406b-b545-1805fa448736_540527123	en
06ce431c-dcb3-459d-a8db-ffd666095b38_221403711	en
070d9f2a-e1c4-40df-adc8-1795836bc086_755339536	en
070d9f2a-e1c4-40df-adc8-1795836bc086_851474857	es
070da8dd-1499-4337-82d6-1a984c6dadd4_258610077	zh
07237497-b8e6-4a34-b852-67a203a34111_325702518	en
072c595e-35c2-4f60-a062-4c25b65b3995_484907351	en
072e5eb1-43c5-4f34-9e76-544de37657d8_850573552	zh
0737b2e5-93cd-496e-8bd7-f80b12ec4120_163352547	zh
073b2d86-8a70-42dd-a994-3d0d2d4d631c_799207900	es
07439014-3593-4648-8e99-4d913c483be6_793164328	ru
074ffe6f-ff93-4657-b954-8289ec6f6bba_695467594	es
